"Outcome (or Indicator)","Group","Percentage","Confidence Interval","Title","Description","Year"
"Ever having a learning disability","5-11 years","7.9","6.8,  9.1","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","12-17 years","11","9.7, 12.4","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","American Indian or Alaska Native only","999",,"Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Asian only","4.2","2.5,  6.5","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Black only","11","8.5, 14.0","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Native Hawaiian or Other Pacific Islander only","999",,"Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","White only","8.5","7.6,  9.5","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","American Indian and Alaska Native and White","999",,"Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Black and White","12.2","7.4, 18.6","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Hispanic","8.1","6.8,  9.6","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Non-Hispanic","8.7","7.8,  9.7","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Mexican or Mexican American","8.1","6.4, 10.1","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Black only, non-Hispanic","11","8.4, 14.1","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","White only, non-Hispanic","8.6","7.5,  9.7","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Other race, non-Hispanic","7","5.1,  9.3","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Single parent, never married","12.6","9.8, 15.9","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
"Ever having a learning disability","Single parent, ever married","13.5","10.9, 16.4","Percentage of ever having a learning disability for children aged 3-17 years (95% confidence intervals), United States","Based on the question, ""Has a representative from a school or a health professional ever told you that [child's name] had a learning disability?""","2023"
